timestamp,network_state,health_state,command,latency_ms,consecutive_windows,fusion_state,deterioration_prob
1778419033.599448,Stable,ALERT,FULL_ECG_PRIORITY,252.569,1,UNKNOWN,
1778419034.34408,Unstable,ALERT,SEMANTIC_ALERT,752.541,3,UNKNOWN,
1778419034.852784,Stable,ALERT,FULL_ECG_PRIORITY,253.855,1,UNKNOWN,
1778419035.594753,Unstable,NORMAL,SEMANTIC_SUMMARY,502.917,3,UNKNOWN,
1778419036.098179,Stable,NORMAL,FULL_ECG,252.759,1,UNKNOWN,
1778419036.84881,Unstable,NORMAL,DOWNSAMPLED_ECG,257.199,3,UNKNOWN,
1778419037.356905,Stable,NORMAL,FULL_ECG,257.191,1,UNKNOWN,
1778419038.093793,Unstable,NORMAL,DOWNSAMPLED_ECG,752.382,3,UNKNOWN,
1778419038.604764,Stable,NORMAL,FULL_ECG,256.275,1,UNKNOWN,
1778419039.344386,Unstable,CRITICAL,SEMANTIC_CRITICAL,252.79,3,UNKNOWN,
1778419040.104825,Unstable,CRITICAL,SEMANTIC_SUMMARY,256.672,6,UNKNOWN,
1778419040.843899,Unstable,CRITICAL,SEMANTIC_CRITICAL,752.471,9,UNKNOWN,
1778419042.097148,Unstable,CRITICAL,SEMANTIC_SUMMARY,252.174,14,UNKNOWN,
1778419042.84826,Stable,CRITICAL,SEMANTIC_CRITICAL,752.548,2,UNKNOWN,
1778419043.600733,Unstable,CRITICAL,SEMANTIC_SUMMARY,255.605,3,UNKNOWN,
1778419044.356369,Stable,CRITICAL,SEMANTIC_CRITICAL,755.99,2,UNKNOWN,
1778419045.352944,Unstable,CRITICAL,SEMANTIC_SUMMARY,259.946,2,UNKNOWN,
1778419046.109186,Stable,ALERT,FULL_ECG_PRIORITY,262.301,1,UNKNOWN,
1778419046.844865,Unstable,CRITICAL,SEMANTIC_SUMMARY,252.408,2,UNKNOWN,
1778419047.59676,Stable,CRITICAL,SEMANTIC_CRITICAL,753.459,2,UNKNOWN,
1778419048.852631,Unstable,CRITICAL,SEMANTIC_SUMMARY,259.067,5,UNKNOWN,
1778419049.599099,Stable,CRITICAL,SEMANTIC_CRITICAL,752.115,2,UNKNOWN,
1778419050.101001,Unstable,CRITICAL,SEMANTIC_SUMMARY,255.276,1,UNKNOWN,
1778419050.604995,Stable,CRITICAL,SEMANTIC_CRITICAL,257.348,1,UNKNOWN,
1778419051.345326,Unstable,CRITICAL,SEMANTIC_SUMMARY,252.322,3,UNKNOWN,
1778419051.850652,Stable,CRITICAL,SEMANTIC_CRITICAL,502.402,1,UNKNOWN,
1778419053.349458,Unstable,CRITICAL,SEMANTIC_SUMMARY,252.493,1,UNKNOWN,
1778419053.861504,Stable,CRITICAL,SEMANTIC_CRITICAL,511.488,1,UNKNOWN,
1778419054.596875,Critical,ALERT,SEMANTIC_ALERT,505.046,2,UNKNOWN,
1778419055.353767,Stable,ALERT,FULL_ECG_PRIORITY,508.67,2,UNKNOWN,
1778419056.096332,Unstable,ALERT,SEMANTIC_ALERT,502.233,1,UNKNOWN,
1778419056.610537,Critical,NORMAL,SEMANTIC_SUMMARY,259.781,1,UNKNOWN,
1778419057.345169,Stable,NORMAL,FULL_ECG,502.467,2,UNKNOWN,
