[WARD] PatientFusionEncoder available=False
[WARD] Listening on 0.0.0.0:5006
[WARD CMD] Stable/CRITICAL -> SEMANTIC_SUMMARY (latency=257.7ms, windows=90, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=753.5ms, windows=93, debounce=3)
[WARD CMD] Stable/ALERT -> FULL_ECG_PRIORITY (latency=505.7ms, windows=95, debounce=2)
[WARD CMD] Stable/ALERT -> SEMANTIC_SUMMARY (latency=504.7ms, windows=98, debounce=2)
[WARD CMD] Stable/ALERT -> FULL_ECG_PRIORITY (latency=751.8ms, windows=101, debounce=3)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=502.6ms, windows=104, debounce=2)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_SUMMARY (latency=253.2ms, windows=108, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=506.5ms, windows=1, debounce=2)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_SUMMARY (latency=254.9ms, windows=6, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=754.3ms, windows=9, debounce=3)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=264.3ms, windows=1, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=757.4ms, windows=3, debounce=3)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_SUMMARY (latency=259.5ms, windows=6, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=754.3ms, windows=9, debounce=3)
[WARD CMD] Stable/ALERT -> FULL_ECG_PRIORITY (latency=256.9ms, windows=13, debounce=1)
[WARD CMD] Stable/ALERT -> SEMANTIC_SUMMARY (latency=258.1ms, windows=15, debounce=1)
[WARD CMD] Stable/ALERT -> FULL_ECG_PRIORITY (latency=253.1ms, windows=17, debounce=1)
[WARD CMD] Stable/ALERT -> SEMANTIC_SUMMARY (latency=258.0ms, windows=21, debounce=1)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=505.9ms, windows=23, debounce=2)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=252.2ms, windows=27, debounce=1)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=253.2ms, windows=2, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=504.2ms, windows=2, debounce=2)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_SUMMARY (latency=256.2ms, windows=2, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=752.9ms, windows=5, debounce=3)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_SUMMARY (latency=254.9ms, windows=1, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=502.2ms, windows=3, debounce=2)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=254.8ms, windows=5, debounce=1)
