timestamp,bandwidth_usage_bps,throughput_bps,packet_loss_rate,jitter,avg_delay,active_devices,packets_per_window,network_condition
1774958252.085,57984.0,28032.0,0.516556,19.839431,76.232097,3,151,Critical
1774958252.336,55296.0,26112.0,0.527778,22.436699,81.335331,3,144,Critical
1774958252.583,39936.0,21888.0,0.451923,18.131561,76.343001,3,104,Critical
1774958252.837,37632.0,19200.0,0.489796,20.404286,81.177535,5,98,Critical
1774958253.085,33024.0,18048.0,0.453488,18.534807,80.421894,2,86,Critical
1774958253.335,35328.0,18048.0,0.48913,17.407925,77.88685,2,92,Critical
1774958253.591,31104.0,18048.0,0.419753,15.239371,77.963256,2,81,Critical
1774958253.834,31104.0,17664.0,0.432099,15.857982,83.069475,3,81,Critical
1774958254.085,39552.0,19584.0,0.504854,22.053915,78.386826,2,103,Critical
1774958254.334,31488.0,16512.0,0.47561,19.873109,83.0563,2,82,Critical
1774958254.586,35712.0,18432.0,0.483871,17.526602,78.843971,2,93,Critical
1774958254.838,35328.0,18432.0,0.478261,17.517497,80.154985,3,92,Critical
1774958255.089,37632.0,19200.0,0.489796,21.860137,80.392137,3,98,Critical
1774958255.336,38016.0,16896.0,0.555556,21.149337,76.876434,2,99,Critical
1774958255.591,32640.0,16896.0,0.482353,19.940273,79.476795,2,85,Critical
1774958255.833,39552.0,18816.0,0.524272,20.491809,77.458562,4,103,Critical
1774958256.085,36096.0,17664.0,0.510638,18.555859,81.683952,2,94,Critical
1774958256.336,40704.0,21120.0,0.481132,17.145265,80.220244,3,106,Critical
1774958256.583,48000.0,27264.0,0.432,15.508061,82.05252,3,125,Critical
1774958256.833,56832.0,28800.0,0.493243,21.759268,79.686626,5,148,Critical
1774958257.087,50304.0,26496.0,0.473282,17.308919,80.227202,3,131,Critical
1774958257.335,47232.0,26496.0,0.439024,17.692925,80.55254,4,123,Critical
1774958257.587,73728.0,36480.0,0.505208,20.268792,78.277701,4,192,Critical
1774958257.833,68736.0,37248.0,0.458101,19.14455,81.771192,6,179,Critical
1774958258.083,67968.0,33792.0,0.502825,19.28462,80.961184,4,177,Critical
1774958258.337,74112.0,35328.0,0.523316,21.336957,78.081774,4,193,Critical
1774958258.583,77184.0,36864.0,0.522388,21.082578,78.43667,4,201,Critical
1774958258.833,79104.0,36096.0,0.543689,24.132107,77.15106,5,206,Critical
1774958259.084,70656.0,35712.0,0.494565,19.051311,77.704763,5,184,Critical
1774958259.335,69504.0,36096.0,0.480663,17.880326,79.201949,4,181,Critical
1774958259.583,70272.0,34944.0,0.502732,20.418185,76.549352,4,183,Critical
1774958259.834,68736.0,34176.0,0.502793,19.336068,80.006685,6,179,Critical
1774958260.086,41088.0,21120.0,0.485981,21.027803,83.871052,4,107,Critical
1774958260.333,54912.0,14592.0,0.734266,57.702817,275.069827,4,143,Critical
1774958260.587,152832.0,28800.0,0.811558,86.316598,296.155682,4,398,Critical
1774958260.837,163968.0,28800.0,0.824356,96.778886,301.65398,4,427,Critical
1774958261.092,150528.0,31872.0,0.788265,82.459481,308.11479,6,392,Critical
1774958261.333,106752.0,24576.0,0.769784,67.6063,313.003879,4,278,Critical
1774958261.585,137472.0,26112.0,0.810056,83.503334,305.795336,4,358,Critical
1774958261.833,123264.0,23808.0,0.806854,81.06429,287.314665,3,321,Critical
1774958262.083,116736.0,21888.0,0.8125,90.420756,295.926734,4,304,Critical
1774958262.334,109440.0,22656.0,0.792982,80.860239,299.165338,4,285,Critical
1774958262.588,97920.0,19200.0,0.803922,80.872383,294.135609,3,255,Critical
1774958262.836,129024.0,22272.0,0.827381,96.111552,303.569662,3,336,Critical
1774958263.086,145152.0,29952.0,0.793651,80.958947,298.274752,5,378,Critical
1774958263.335,202752.0,33024.0,0.837121,107.454705,298.667913,5,528,Critical
1774958263.586,151296.0,32256.0,0.786802,77.144475,303.945206,4,394,Critical
1774958263.835,184704.0,29952.0,0.837838,96.102623,295.824693,4,481,Critical
1774958264.089,137856.0,30720.0,0.777159,68.550628,300.914216,5,359,Critical
1774958264.335,167040.0,30720.0,0.816092,92.168522,295.148364,4,435,Critical
1774958264.583,157824.0,28032.0,0.822384,97.060256,299.300004,4,411,Critical
1774958264.839,196992.0,33792.0,0.82846,95.370285,293.066981,4,513,Critical
1774958265.084,126720.0,24576.0,0.806061,88.102255,307.124842,5,330,Critical
1774958265.34,64128.0,15744.0,0.754491,66.402057,306.485851,4,167,Critical
1774958265.587,81792.0,15360.0,0.812207,98.737168,308.501905,2,213,Critical
1774958265.839,84480.0,15744.0,0.813636,83.441601,314.904265,2,220,Critical
1774958266.084,66432.0,13440.0,0.797688,75.216014,301.838909,4,173,Critical
1774958266.338,82944.0,13440.0,0.837963,100.717994,306.483923,2,216,Critical
1774958266.588,90240.0,16896.0,0.812766,87.078447,292.45401,2,235,Critical
1774958266.837,72576.0,14592.0,0.798942,78.496826,300.299644,2,189,Critical
1774958267.093,74496.0,16512.0,0.778351,74.73985,307.668996,3,194,Critical
1774958267.337,109056.0,18048.0,0.834507,99.989962,309.962278,3,284,Critical
1774958267.589,84096.0,14592.0,0.826484,97.028644,309.345327,2,219,Critical
1774958267.837,70272.0,16128.0,0.770492,67.698967,283.399508,2,183,Critical
