
[Receiver] Closed-loop gateway listening on :9000
[Receiver] Ward controller target: 10.0.0.1:5006

[WARN] joblib unavailable; using heuristic predictor.
[PREDICT] source=heuristic state=Critical loss=52.34% delay=80.62ms jitter=21.59ms devices=5
[PREDICT] source=heuristic state=Critical loss=51.02% delay=82.63ms jitter=22.49ms devices=2
[PREDICT] source=heuristic state=Critical loss=49.47% delay=81.82ms jitter=20.14ms devices=2
[PREDICT] source=heuristic state=Critical loss=52.42% delay=79.56ms jitter=20.89ms devices=3
[PREDICT] source=heuristic state=Critical loss=47.14% delay=78.34ms jitter=18.26ms devices=4
[PREDICT] source=heuristic state=Critical loss=49.26% delay=81.02ms jitter=18.00ms devices=4
[PREDICT] source=heuristic state=Critical loss=45.08% delay=79.93ms jitter=17.77ms devices=3
[PREDICT] source=heuristic state=Critical loss=51.75% delay=81.16ms jitter=20.82ms devices=3
[PREDICT] source=heuristic state=Critical loss=48.32% delay=79.94ms jitter=18.61ms devices=5
[PREDICT] source=heuristic state=Critical loss=45.38% delay=81.07ms jitter=17.00ms devices=3
[PREDICT] source=heuristic state=Critical loss=43.33% delay=78.91ms jitter=16.57ms devices=3
[PREDICT] source=heuristic state=Critical loss=52.80% delay=80.79ms jitter=21.77ms devices=3
[PREDICT] source=heuristic state=Critical loss=53.33% delay=77.93ms jitter=21.48ms devices=5
[PREDICT] source=heuristic state=Critical loss=51.66% delay=76.23ms jitter=19.84ms devices=3
[PREDICT] source=heuristic state=Critical loss=52.78% delay=81.34ms jitter=22.44ms devices=3
[PREDICT] source=heuristic state=Critical loss=45.19% delay=76.34ms jitter=18.13ms devices=3
[PREDICT] source=heuristic state=Critical loss=48.98% delay=81.18ms jitter=20.40ms devices=5
[PREDICT] source=heuristic state=Critical loss=45.35% delay=80.42ms jitter=18.53ms devices=2
[PREDICT] source=heuristic state=Critical loss=48.91% delay=77.89ms jitter=17.41ms devices=2
[PREDICT] source=heuristic state=Critical loss=41.98% delay=77.96ms jitter=15.24ms devices=2
[PREDICT] source=heuristic state=Critical loss=43.21% delay=83.07ms jitter=15.86ms devices=3
[PREDICT] source=heuristic state=Critical loss=50.49% delay=78.39ms jitter=22.05ms devices=2
[PREDICT] source=heuristic state=Critical loss=47.56% delay=83.06ms jitter=19.87ms devices=2
[PREDICT] source=heuristic state=Critical loss=48.39% delay=78.84ms jitter=17.53ms devices=2
[PREDICT] source=heuristic state=Critical loss=47.83% delay=80.15ms jitter=17.52ms devices=3
[PREDICT] source=heuristic state=Critical loss=48.98% delay=80.39ms jitter=21.86ms devices=3
[PREDICT] source=heuristic state=Critical loss=55.56% delay=76.88ms jitter=21.15ms devices=2
[PREDICT] source=heuristic state=Critical loss=48.24% delay=79.48ms jitter=19.94ms devices=2
[PREDICT] source=heuristic state=Critical loss=52.43% delay=77.46ms jitter=20.49ms devices=4
[PREDICT] source=heuristic state=Critical loss=51.06% delay=81.68ms jitter=18.56ms devices=2
[PREDICT] source=heuristic state=Critical loss=48.11% delay=80.22ms jitter=17.15ms devices=3
[PREDICT] source=heuristic state=Critical loss=43.20% delay=82.05ms jitter=15.51ms devices=3
[PREDICT] source=heuristic state=Critical loss=49.32% delay=79.69ms jitter=21.76ms devices=5
[PREDICT] source=heuristic state=Critical loss=47.33% delay=80.23ms jitter=17.31ms devices=3
[PREDICT] source=heuristic state=Critical loss=43.90% delay=80.55ms jitter=17.69ms devices=4
[PREDICT] source=heuristic state=Critical loss=50.52% delay=78.28ms jitter=20.27ms devices=4
[PREDICT] source=heuristic state=Critical loss=45.81% delay=81.77ms jitter=19.14ms devices=6
[PREDICT] source=heuristic state=Critical loss=50.28% delay=80.96ms jitter=19.28ms devices=4
[PREDICT] source=heuristic state=Critical loss=52.33% delay=78.08ms jitter=21.34ms devices=4
[PREDICT] source=heuristic state=Critical loss=52.24% delay=78.44ms jitter=21.08ms devices=4
[PREDICT] source=heuristic state=Critical loss=54.37% delay=77.15ms jitter=24.13ms devices=5
[PREDICT] source=heuristic state=Critical loss=49.46% delay=77.70ms jitter=19.05ms devices=5
[PREDICT] source=heuristic state=Critical loss=48.07% delay=79.20ms jitter=17.88ms devices=4
[PREDICT] source=heuristic state=Critical loss=50.27% delay=76.55ms jitter=20.42ms devices=4
[PREDICT] source=heuristic state=Critical loss=50.28% delay=80.01ms jitter=19.34ms devices=6
[Receiver] Elapsed: 0m 45s | Rows:   180 | Status: Running
[PREDICT] source=heuristic state=Critical loss=48.60% delay=83.87ms jitter=21.03ms devices=4
[PREDICT] source=heuristic state=Critical loss=73.43% delay=275.07ms jitter=57.70ms devices=4
[PREDICT] source=heuristic state=Critical loss=81.16% delay=296.16ms jitter=86.32ms devices=4
[PREDICT] source=heuristic state=Critical loss=82.44% delay=301.65ms jitter=96.78ms devices=4
[PREDICT] source=heuristic state=Critical loss=78.83% delay=308.11ms jitter=82.46ms devices=6
[PREDICT] source=heuristic state=Critical loss=76.98% delay=313.00ms jitter=67.61ms devices=4
[PREDICT] source=heuristic state=Critical loss=81.01% delay=305.80ms jitter=83.50ms devices=4
[PREDICT] source=heuristic state=Critical loss=80.69% delay=287.31ms jitter=81.06ms devices=3
[PREDICT] source=heuristic state=Critical loss=81.25% delay=295.93ms jitter=90.42ms devices=4
[PREDICT] source=heuristic state=Critical loss=79.30% delay=299.17ms jitter=80.86ms devices=4
[PREDICT] source=heuristic state=Critical loss=80.39% delay=294.14ms jitter=80.87ms devices=3
[PREDICT] source=heuristic state=Critical loss=82.74% delay=303.57ms jitter=96.11ms devices=3
[PREDICT] source=heuristic state=Critical loss=79.37% delay=298.27ms jitter=80.96ms devices=5
[PREDICT] source=heuristic state=Critical loss=83.71% delay=298.67ms jitter=107.45ms devices=5
[PREDICT] source=heuristic state=Critical loss=78.68% delay=303.95ms jitter=77.14ms devices=4
[PREDICT] source=heuristic state=Critical loss=83.78% delay=295.82ms jitter=96.10ms devices=4
[PREDICT] source=heuristic state=Critical loss=77.72% delay=300.91ms jitter=68.55ms devices=5
[PREDICT] source=heuristic state=Critical loss=81.61% delay=295.15ms jitter=92.17ms devices=4
[PREDICT] source=heuristic state=Critical loss=82.24% delay=299.30ms jitter=97.06ms devices=4
[PREDICT] source=heuristic state=Critical loss=82.85% delay=293.07ms jitter=95.37ms devices=4
[PREDICT] source=heuristic state=Critical loss=80.61% delay=307.12ms jitter=88.10ms devices=5
[PREDICT] source=heuristic state=Critical loss=75.45% delay=306.49ms jitter=66.40ms devices=4
[PREDICT] source=heuristic state=Critical loss=81.22% delay=308.50ms jitter=98.74ms devices=2
[PREDICT] source=heuristic state=Critical loss=81.36% delay=314.90ms jitter=83.44ms devices=2
[PREDICT] source=heuristic state=Critical loss=79.77% delay=301.84ms jitter=75.22ms devices=4
[PREDICT] source=heuristic state=Critical loss=83.80% delay=306.48ms jitter=100.72ms devices=2
[PREDICT] source=heuristic state=Critical loss=81.28% delay=292.45ms jitter=87.08ms devices=2
[PREDICT] source=heuristic state=Critical loss=79.89% delay=300.30ms jitter=78.50ms devices=2
[PREDICT] source=heuristic state=Critical loss=77.84% delay=307.67ms jitter=74.74ms devices=3
[PREDICT] source=heuristic state=Critical loss=83.45% delay=309.96ms jitter=99.99ms devices=3
[PREDICT] source=heuristic state=Critical loss=82.65% delay=309.35ms jitter=97.03ms devices=2
[PREDICT] source=heuristic state=Critical loss=77.05% delay=283.40ms jitter=67.70ms devices=2
[PREDICT] source=heuristic state=Critical loss=79.91% delay=314.86ms jitter=78.00ms devices=3
[PREDICT] source=heuristic state=Critical loss=76.61% delay=286.43ms jitter=70.81ms devices=2
[PREDICT] source=heuristic state=Critical loss=82.40% delay=280.98ms jitter=89.41ms devices=3
[PREDICT] source=heuristic state=Critical loss=80.65% delay=310.94ms jitter=86.98ms devices=3
[PREDICT] source=heuristic state=Critical loss=78.81% delay=304.38ms jitter=76.72ms devices=3
[PREDICT] source=heuristic state=Critical loss=83.49% delay=289.76ms jitter=97.14ms devices=3
[PREDICT] source=heuristic state=Critical loss=81.05% delay=291.25ms jitter=85.89ms devices=3
[PREDICT] source=heuristic state=Critical loss=79.41% delay=312.47ms jitter=81.06ms devices=3
[PREDICT] source=heuristic state=Critical loss=81.97% delay=303.96ms jitter=92.57ms devices=5
[PREDICT] source=heuristic state=Critical loss=81.73% delay=309.49ms jitter=87.96ms devices=3
[PREDICT] source=heuristic state=Critical loss=80.00% delay=313.29ms jitter=83.98ms devices=3
[PREDICT] source=heuristic state=Critical loss=81.75% delay=301.01ms jitter=91.60ms devices=3
[PREDICT] source=heuristic state=Critical loss=79.67% delay=302.54ms jitter=74.47ms devices=4
[PREDICT] source=heuristic state=Critical loss=80.98% delay=294.01ms jitter=92.58ms devices=4
[PREDICT] source=heuristic state=Critical loss=82.27% delay=298.92ms jitter=94.18ms devices=3
[PREDICT] source=heuristic state=Critical loss=81.73% delay=310.16ms jitter=85.05ms devices=3
[PREDICT] source=heuristic state=Critical loss=78.71% delay=310.91ms jitter=74.87ms devices=3
[PREDICT] source=heuristic state=Critical loss=80.54% delay=291.27ms jitter=83.94ms devices=4
[PREDICT] source=heuristic state=Critical loss=77.82% delay=313.44ms jitter=69.46ms devices=3
[PREDICT] source=heuristic state=Critical loss=82.40% delay=282.54ms jitter=93.79ms devices=3
[PREDICT] source=heuristic state=Critical loss=79.58% delay=296.51ms jitter=76.62ms devices=3
[PREDICT] source=heuristic state=Critical loss=83.43% delay=316.60ms jitter=105.02ms devices=4
[PREDICT] source=heuristic state=Critical loss=78.34% delay=326.59ms jitter=66.42ms devices=3
[PREDICT] source=heuristic state=Critical loss=79.02% delay=288.79ms jitter=78.25ms devices=2
[PREDICT] source=heuristic state=Critical loss=81.55% delay=301.39ms jitter=91.40ms devices=4
[PREDICT] source=heuristic state=Critical loss=80.17% delay=315.34ms jitter=82.32ms devices=2
[PREDICT] source=heuristic state=Critical loss=79.89% delay=297.48ms jitter=85.97ms devices=2
[PREDICT] source=heuristic state=Critical loss=78.26% delay=277.96ms jitter=69.53ms devices=2
[Receiver] Elapsed: 1m 0s | Rows:   240 | Status: Running
[PREDICT] source=heuristic state=Critical loss=77.37% delay=303.12ms jitter=70.48ms devices=3
[PREDICT] source=heuristic state=Critical loss=78.88% delay=289.48ms jitter=72.19ms devices=2
[PREDICT] source=heuristic state=Critical loss=74.31% delay=323.92ms jitter=66.83ms devices=2
[PREDICT] source=heuristic state=Critical loss=77.94% delay=285.48ms jitter=72.48ms devices=2
[PREDICT] source=heuristic state=Critical loss=83.51% delay=289.25ms jitter=102.86ms devices=4
[PREDICT] source=heuristic state=Critical loss=78.69% delay=307.18ms jitter=81.37ms devices=2
[PREDICT] source=heuristic state=Critical loss=81.07% delay=297.44ms jitter=82.95ms devices=2
[PREDICT] source=heuristic state=Critical loss=81.77% delay=301.29ms jitter=77.55ms devices=2
[PREDICT] source=heuristic state=Critical loss=79.19% delay=296.52ms jitter=78.95ms devices=3
[PREDICT] source=heuristic state=Critical loss=83.88% delay=310.21ms jitter=104.59ms devices=2
[PREDICT] source=heuristic state=Critical loss=83.54% delay=314.25ms jitter=103.83ms devices=2
[PREDICT] source=heuristic state=Critical loss=84.02% delay=301.73ms jitter=102.24ms devices=2
[PREDICT] source=heuristic state=Critical loss=81.19% delay=307.65ms jitter=94.75ms devices=4
[PREDICT] source=heuristic state=Critical loss=79.37% delay=311.08ms jitter=81.84ms devices=2
[PREDICT] source=heuristic state=Critical loss=83.18% delay=286.85ms jitter=90.26ms devices=2
[PREDICT] source=heuristic state=Critical loss=81.19% delay=303.94ms jitter=88.81ms devices=2
[PREDICT] source=heuristic state=Critical loss=79.27% delay=314.30ms jitter=74.82ms devices=2
[PREDICT] source=heuristic state=Critical loss=80.00% delay=287.77ms jitter=70.10ms devices=3
[PREDICT] source=heuristic state=Critical loss=82.87% delay=303.86ms jitter=94.30ms devices=2
[PREDICT] source=heuristic state=Critical loss=78.61% delay=323.84ms jitter=76.82ms devices=2
[PREDICT] source=heuristic state=Critical loss=86.02% delay=231.86ms jitter=126.16ms devices=4
[PREDICT] source=heuristic state=Critical loss=86.97% delay=133.11ms jitter=139.52ms devices=2
[PREDICT] source=heuristic state=Critical loss=68.35% delay=73.39ms jitter=45.62ms devices=2
[PREDICT] source=heuristic state=Critical loss=31.51% delay=53.55ms jitter=10.94ms devices=2
[PREDICT] source=heuristic state=Critical loss=29.58% delay=54.75ms jitter=19.12ms devices=4
