timestamp,bandwidth_usage_bps,throughput_bps,packet_loss_rate,jitter,avg_delay,active_devices,packets_per_window,network_condition,predictor_source,prediction_confidence,estimated_lost_bytes,reordered_recovered_packets,receiver_overloaded,drain_max_ms,drain_avg_ms,drain_budget_hits,drain_backlog_hits
1778413395.438,23296.0,19456.0,0.164835,72.419938,258.406997,7,91,Critical,heuristic,,960,53,0,0.25,0.084,0,0
1778413395.69,27392.0,20992.0,0.280702,66.630616,257.10151,4,114,Critical,heuristic,,2048,61,1,0.262,0.083,0,1
1778413395.938,26112.0,18432.0,0.327103,75.028343,251.451002,4,107,Critical,heuristic,,2240,50,0,0.193,0.099,0,0
1778413396.19,21504.0,21248.0,0.14433,66.966109,269.464401,4,97,Critical,heuristic,,896,61,0,0.312,0.074,0,0
1778413396.441,28928.0,23552.0,0.2,69.959164,256.682531,7,115,Critical,heuristic,,1472,63,1,0.225,0.076,0,1
1778413396.688,22784.0,17920.0,0.230769,87.095966,259.553902,4,91,Critical,heuristic,,1344,50,0,0.255,0.084,0,0
1778413396.94,26112.0,20480.0,0.285714,68.531692,252.107441,4,112,Critical,heuristic,,2048,55,0,0.209,0.085,0,0
1778413397.19,24064.0,19200.0,0.271845,64.890782,256.050437,4,103,Critical,heuristic,,1792,57,0,0.159,0.074,0,0
1778413397.439,22784.0,20992.0,0.171717,78.965943,261.842707,6,99,Critical,heuristic,,1088,60,1,0.198,0.075,0,1
1778413397.693,28672.0,23040.0,0.230769,73.655203,260.250296,5,117,Critical,heuristic,,1728,64,0,0.202,0.077,0,0
1778413397.939,21248.0,20992.0,0.136842,75.517838,258.959793,4,95,Critical,heuristic,,832,58,1,0.206,0.075,0,1
1778413398.189,26880.0,21504.0,0.214953,73.306515,249.442132,5,107,Critical,heuristic,,1472,61,0,0.225,0.083,0,0
1778413398.441,24832.0,19456.0,0.296296,84.059395,268.895375,4,108,Critical,heuristic,,2048,57,1,0.206,0.086,0,2
1778413398.694,21248.0,22784.0,0.11,68.295013,264.189182,6,100,Critical,heuristic,,704,70,1,0.202,0.075,0,1
1778413398.938,29440.0,20736.0,0.301724,85.628863,246.138914,4,116,Critical,heuristic,,2240,61,1,0.269,0.078,0,2
1778413399.19,18688.0,19712.0,0.083333,81.677415,273.711551,4,84,Critical,heuristic,,448,63,0,0.16,0.082,0,0
