timestamp,bandwidth_usage_bps,throughput_bps,packet_loss_rate,jitter,avg_delay,active_devices,packets_per_window,network_condition
1774957058.835,101632.0,22784.0,0.775819,70.655,224.22591,4,397,Critical
1774957059.078,164608.0,27648.0,0.832037,101.063174,176.458394,6,643,Critical
1774957059.331,172800.0,33536.0,0.805926,89.402108,103.176754,5,675,Critical
1774957059.578,39936.0,23296.0,0.416667,13.564555,57.000307,4,156,Critical
1774957059.829,40704.0,24064.0,0.408805,14.308273,55.635947,4,159,Critical
1774957060.086,43520.0,24576.0,0.435294,15.727537,53.38862,6,170,Critical
1774957060.329,33792.0,23808.0,0.295455,10.872533,53.449313,5,132,Critical
1774957060.58,35840.0,23296.0,0.35,10.832522,54.605044,4,140,Critical
1774957060.83,40192.0,24064.0,0.401274,12.451646,53.813146,4,157,Critical
1774957061.078,39168.0,24320.0,0.379085,14.059777,52.331972,6,153,Critical
1774957061.33,41984.0,24064.0,0.426829,14.887084,55.137487,5,164,Critical
1774957061.581,36096.0,23296.0,0.35461,12.173799,54.435743,4,141,Critical
1774957061.828,41216.0,24576.0,0.403727,13.43786,55.629738,4,161,Critical
1774957062.08,36864.0,22528.0,0.388889,12.746077,53.332822,6,144,Critical
1774957062.333,37888.0,23808.0,0.371622,12.548954,54.183206,5,148,Critical
1774957062.579,35328.0,23552.0,0.333333,11.625243,55.796634,4,138,Critical
1774957062.829,36096.0,23808.0,0.340426,11.999094,57.635266,4,141,Critical
1774957063.08,36352.0,23552.0,0.352113,11.501758,54.784376,5,142,Critical
1774957063.329,38144.0,22784.0,0.402685,14.063345,53.288031,5,149,Critical
1774957063.579,36352.0,24832.0,0.316901,12.784631,54.207711,4,142,Critical
1774957063.828,34304.0,22528.0,0.343284,12.017291,56.488183,4,134,Critical
1774957064.078,43776.0,25344.0,0.421053,14.374632,54.265314,6,171,Critical
1774957064.331,37376.0,23296.0,0.376712,12.712646,54.812222,5,146,Critical
1774957064.58,38144.0,24064.0,0.369128,13.891963,55.632482,4,149,Critical
1774957064.83,36096.0,23040.0,0.361702,12.522533,52.808038,4,141,Critical
1774957065.078,37888.0,24064.0,0.364865,13.096698,54.825765,6,148,Critical
1774957065.328,39936.0,23808.0,0.403846,14.572097,51.847299,5,156,Critical
1774957065.579,38144.0,23552.0,0.38255,12.809424,53.374456,4,149,Critical
1774957065.829,37632.0,24064.0,0.360544,12.079536,53.196735,4,147,Critical
1774957066.08,36608.0,23808.0,0.34965,11.213244,52.696566,6,143,Critical
1774957066.332,38656.0,23808.0,0.384106,12.648554,55.091571,5,151,Critical
1774957066.579,37120.0,23296.0,0.372414,12.851579,56.258021,4,145,Critical
1774957066.83,43264.0,25344.0,0.414201,14.597878,55.119423,4,169,Critical
1774957067.079,40704.0,23552.0,0.421384,14.515662,54.361857,5,159,Critical
1774957067.328,36096.0,23552.0,0.347518,12.805454,53.703487,5,141,Critical
1774957067.583,40960.0,25344.0,0.38125,13.12516,51.899002,4,160,Critical
1774957067.831,37888.0,22784.0,0.398649,13.785118,56.095405,4,148,Critical
1774957068.078,39680.0,24576.0,0.380645,13.522709,54.604282,6,155,Critical
1774957068.329,38400.0,23552.0,0.386667,13.309531,55.680335,4,150,Critical
1774957068.58,38400.0,23040.0,0.4,12.622529,53.009001,4,150,Critical
1774957068.83,41728.0,23296.0,0.441718,14.858495,54.234714,4,163,Critical
1774957069.08,39680.0,24832.0,0.374194,12.312506,55.720568,5,155,Critical
1774957069.328,36352.0,23040.0,0.366197,12.546383,53.324397,5,142,Critical
1774957069.579,37120.0,22528.0,0.393103,13.535846,54.771713,4,145,Critical
1774957069.829,41984.0,24832.0,0.408537,13.651108,55.194366,4,164,Critical
1774957070.079,34816.0,22272.0,0.360294,12.144648,56.193653,6,136,Critical
1774957070.33,40704.0,23552.0,0.421384,14.368563,53.879556,5,159,Critical
1774957070.578,39680.0,24576.0,0.380645,13.216751,53.327806,4,155,Critical
1774957070.829,36608.0,22528.0,0.384615,12.982913,52.044075,4,143,Critical
1774957071.081,36864.0,23808.0,0.354167,13.00226,55.10422,5,144,Critical
1774957071.331,40704.0,24320.0,0.402516,14.729101,55.137331,6,159,Critical
1774957071.578,39680.0,23040.0,0.419355,13.199292,53.965984,4,155,Critical
1774957071.833,43520.0,25600.0,0.411765,13.609102,54.030712,4,170,Critical
1774957072.082,40192.0,24320.0,0.394904,13.489934,54.442177,6,157,Critical
1774957072.334,39680.0,25088.0,0.367742,12.229153,53.895848,5,155,Critical
1774957072.578,35328.0,22784.0,0.355072,12.246767,54.267923,4,138,Critical
1774957072.832,41472.0,24064.0,0.419753,13.940798,52.658056,4,162,Critical
1774957073.081,35328.0,25088.0,0.289855,11.057501,52.342529,6,138,Critical
1774957073.33,37888.0,24320.0,0.358108,12.72256,54.920919,5,148,Critical
1774957073.581,40192.0,23552.0,0.414013,13.983815,55.619833,4,157,Critical
1774957073.829,37888.0,24320.0,0.358108,12.675802,54.691179,4,148,Critical
1774957074.082,42752.0,25088.0,0.413174,14.444295,53.336525,6,167,Critical
1774957074.329,32768.0,23552.0,0.28125,10.671781,54.098217,5,128,Critical
1774957074.58,41216.0,24064.0,0.416149,13.037537,54.38796,4,161,Critical
1774957074.83,38144.0,23808.0,0.375839,12.824102,55.510216,4,149,Critical
1774957075.082,40192.0,24576.0,0.388535,12.672519,53.536398,6,157,Critical
1774957075.329,37376.0,23808.0,0.363014,12.345137,53.355512,5,146,Critical
1774957075.578,36608.0,23808.0,0.34965,12.031812,54.152494,4,143,Critical
1774957075.833,37376.0,23296.0,0.376712,13.537365,54.864108,4,146,Critical
1774957076.078,38400.0,24576.0,0.36,11.021684,54.827156,6,150,Critical
1774957076.329,36608.0,23296.0,0.363636,12.610477,53.811571,4,143,Critical
