
[Receiver] Closed-loop gateway listening on :9000
[Receiver] Ward controller target: 10.0.0.1:5006

[WARN] joblib unavailable; using heuristic predictor.
[PREDICT] source=heuristic state=Critical loss=38.10% delay=55.54ms jitter=12.25ms devices=4
[PREDICT] source=heuristic state=Critical loss=31.58% delay=54.85ms jitter=12.87ms devices=4
[PREDICT] source=heuristic state=Critical loss=38.99% delay=55.45ms jitter=13.55ms devices=8
[PREDICT] source=heuristic state=Critical loss=38.00% delay=54.62ms jitter=12.96ms devices=4
[PREDICT] source=heuristic state=Critical loss=37.76% delay=53.50ms jitter=13.35ms devices=4
[PREDICT] source=heuristic state=Critical loss=33.33% delay=55.10ms jitter=11.78ms devices=4
[PREDICT] source=heuristic state=Critical loss=34.21% delay=54.13ms jitter=12.94ms devices=7
[PREDICT] source=heuristic state=Critical loss=44.44% delay=55.32ms jitter=15.58ms devices=4
[PREDICT] source=heuristic state=Critical loss=34.06% delay=55.77ms jitter=11.79ms devices=4
[PREDICT] source=heuristic state=Critical loss=40.62% delay=57.40ms jitter=14.69ms devices=4
[PREDICT] source=heuristic state=Critical loss=35.04% delay=55.66ms jitter=12.41ms devices=7
[PREDICT] source=heuristic state=Critical loss=31.85% delay=55.44ms jitter=11.30ms devices=4
[PREDICT] source=heuristic state=Critical loss=34.46% delay=55.69ms jitter=12.39ms devices=4
[PREDICT] source=heuristic state=Critical loss=40.41% delay=55.51ms jitter=13.26ms devices=4
[PREDICT] source=heuristic state=Critical loss=39.38% delay=55.14ms jitter=13.83ms devices=7
[PREDICT] source=heuristic state=Critical loss=38.36% delay=56.99ms jitter=12.83ms devices=4
[PREDICT] source=heuristic state=Critical loss=43.98% delay=55.76ms jitter=14.37ms devices=4
[PREDICT] source=heuristic state=Critical loss=33.09% delay=54.63ms jitter=12.05ms devices=4
[PREDICT] source=heuristic state=Critical loss=38.82% delay=57.21ms jitter=14.52ms devices=6
[PREDICT] source=heuristic state=Critical loss=39.49% delay=53.97ms jitter=13.56ms devices=5
[PREDICT] source=heuristic state=Critical loss=38.78% delay=55.35ms jitter=13.27ms devices=4
[PREDICT] source=heuristic state=Critical loss=35.86% delay=55.30ms jitter=12.11ms devices=4
[PREDICT] source=heuristic state=Critical loss=32.28% delay=56.39ms jitter=11.95ms devices=6
[PREDICT] source=heuristic state=Critical loss=41.72% delay=55.34ms jitter=15.06ms devices=5
[PREDICT] source=heuristic state=Critical loss=42.77% delay=56.40ms jitter=15.59ms devices=4
[PREDICT] source=heuristic state=Critical loss=33.82% delay=55.82ms jitter=11.33ms devices=4
[PREDICT] source=heuristic state=Critical loss=39.49% delay=54.38ms jitter=14.69ms devices=6
[PREDICT] source=heuristic state=Critical loss=41.51% delay=55.32ms jitter=15.42ms devices=5
[PREDICT] source=heuristic state=Critical loss=43.48% delay=53.33ms jitter=15.49ms devices=4
[PREDICT] source=heuristic state=Critical loss=34.48% delay=55.67ms jitter=11.98ms devices=4
[PREDICT] source=heuristic state=Critical loss=34.31% delay=52.93ms jitter=10.97ms devices=6
[PREDICT] source=heuristic state=Critical loss=38.00% delay=53.79ms jitter=12.91ms devices=5
[PREDICT] source=heuristic state=Critical loss=43.29% delay=54.02ms jitter=14.61ms devices=4
[PREDICT] source=heuristic state=Critical loss=40.99% delay=54.08ms jitter=14.96ms devices=4
[PREDICT] source=heuristic state=Critical loss=32.58% delay=56.45ms jitter=10.96ms devices=6
[PREDICT] source=heuristic state=Critical loss=34.69% delay=55.43ms jitter=11.60ms devices=5
[PREDICT] source=heuristic state=Critical loss=36.67% delay=54.86ms jitter=13.34ms devices=4
[PREDICT] source=heuristic state=Critical loss=36.36% delay=57.07ms jitter=11.92ms devices=4
[PREDICT] source=heuristic state=Critical loss=30.53% delay=55.91ms jitter=11.44ms devices=6
[PREDICT] source=heuristic state=Critical loss=36.67% delay=56.33ms jitter=13.35ms devices=5
[PREDICT] source=heuristic state=Critical loss=34.53% delay=55.10ms jitter=11.70ms devices=4
[PREDICT] source=heuristic state=Critical loss=41.10% delay=55.46ms jitter=14.75ms devices=4
[PREDICT] source=heuristic state=Critical loss=34.51% delay=53.60ms jitter=12.19ms devices=5
[PREDICT] source=heuristic state=Critical loss=42.42% delay=56.85ms jitter=14.94ms devices=5
[PREDICT] source=heuristic state=Critical loss=37.01% delay=54.35ms jitter=12.66ms devices=4
[PREDICT] source=heuristic state=Critical loss=33.58% delay=55.62ms jitter=11.22ms devices=4
[PREDICT] source=heuristic state=Critical loss=33.09% delay=55.01ms jitter=12.49ms devices=6
[PREDICT] source=heuristic state=Critical loss=37.16% delay=54.66ms jitter=12.76ms devices=5
[PREDICT] source=heuristic state=Critical loss=36.55% delay=56.76ms jitter=12.91ms devices=4
[PREDICT] source=heuristic state=Critical loss=36.60% delay=55.05ms jitter=12.88ms devices=4
[PREDICT] source=heuristic state=Critical loss=37.50% delay=59.85ms jitter=14.34ms devices=4
[PREDICT] source=heuristic state=Critical loss=71.68% delay=219.69ms jitter=62.42ms devices=6
[PREDICT] source=heuristic state=Critical loss=78.59% delay=231.96ms jitter=80.69ms devices=5
[PREDICT] source=heuristic state=Critical loss=77.05% delay=211.46ms jitter=63.83ms devices=4
[Receiver] Elapsed: 0m 45s | Rows:   180 | Status: Running
[PREDICT] source=heuristic state=Critical loss=77.50% delay=223.24ms jitter=71.10ms devices=4
[PREDICT] source=heuristic state=Critical loss=74.43% delay=223.90ms jitter=64.95ms devices=6
[PREDICT] source=heuristic state=Critical loss=76.61% delay=234.03ms jitter=67.76ms devices=5
[PREDICT] source=heuristic state=Critical loss=76.44% delay=224.22ms jitter=67.70ms devices=4
[PREDICT] source=heuristic state=Critical loss=76.08% delay=221.90ms jitter=62.81ms devices=4
[PREDICT] source=heuristic state=Critical loss=75.34% delay=221.69ms jitter=64.10ms devices=4
[PREDICT] source=heuristic state=Critical loss=75.00% delay=222.44ms jitter=60.71ms devices=5
[PREDICT] source=heuristic state=Critical loss=76.47% delay=227.12ms jitter=66.44ms devices=4
[PREDICT] source=heuristic state=Critical loss=75.80% delay=230.62ms jitter=65.65ms devices=5
[PREDICT] source=heuristic state=Critical loss=76.99% delay=227.51ms jitter=67.69ms devices=5
[PREDICT] source=heuristic state=Critical loss=76.06% delay=218.78ms jitter=61.96ms devices=4
[PREDICT] source=heuristic state=Critical loss=77.05% delay=222.67ms jitter=68.17ms devices=4
[PREDICT] source=heuristic state=Critical loss=76.65% delay=223.32ms jitter=66.21ms devices=4
[PREDICT] source=heuristic state=Critical loss=77.87% delay=227.02ms jitter=74.70ms devices=7
[PREDICT] source=heuristic state=Critical loss=73.87% delay=230.50ms jitter=59.50ms devices=4
[PREDICT] source=heuristic state=Critical loss=76.40% delay=227.77ms jitter=67.58ms devices=4
[PREDICT] source=heuristic state=Critical loss=73.89% delay=226.16ms jitter=57.12ms devices=4
[PREDICT] source=heuristic state=Critical loss=75.49% delay=227.93ms jitter=63.95ms devices=7
[PREDICT] source=heuristic state=Critical loss=74.93% delay=232.44ms jitter=57.61ms devices=4
[PREDICT] source=heuristic state=Critical loss=73.55% delay=235.69ms jitter=54.17ms devices=4
[PREDICT] source=heuristic state=Critical loss=80.20% delay=219.58ms jitter=82.10ms devices=4
[PREDICT] source=heuristic state=Critical loss=74.76% delay=231.56ms jitter=67.81ms devices=7
[PREDICT] source=heuristic state=Critical loss=78.65% delay=223.52ms jitter=71.22ms devices=4
[PREDICT] source=heuristic state=Critical loss=75.66% delay=222.62ms jitter=65.89ms devices=4
[PREDICT] source=heuristic state=Critical loss=75.15% delay=222.32ms jitter=64.01ms devices=4
[PREDICT] source=heuristic state=Critical loss=75.60% delay=230.59ms jitter=65.39ms devices=5
[PREDICT] source=heuristic state=Critical loss=79.08% delay=224.04ms jitter=81.43ms devices=5
[PREDICT] source=heuristic state=Critical loss=73.45% delay=230.85ms jitter=54.98ms devices=4
[PREDICT] source=heuristic state=Critical loss=78.18% delay=216.05ms jitter=76.12ms devices=4
[PREDICT] source=heuristic state=Critical loss=78.55% delay=220.61ms jitter=76.49ms devices=7
[PREDICT] source=heuristic state=Critical loss=77.64% delay=228.40ms jitter=68.39ms devices=4
[PREDICT] source=heuristic state=Critical loss=75.67% delay=227.20ms jitter=62.91ms devices=4
[PREDICT] source=heuristic state=Critical loss=77.12% delay=233.54ms jitter=68.50ms devices=4
